Site_Name	ID	tag	species	stem	censinyr	growinyr	deathyr	censoryr	yrMIA	postX	postY	localX	localY	x	y	UTM_Easting	UTM_Northing	elevation	diam2011	diam2014	sex2011	sex2014	canopy2011	canopy2014	damage	damage2011	damage2014	Notes2011	Notes2014
Purchase_Knob	396.01	2178	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	70	8.5	6.0	38.5	76.0	311481.5482	3940241.6190	436.5375	11.12	12.50	UN	UN	1	1	ND	ND	ND		
Purchase_Knob	406.01	2179	acerRubr	1	2011	NaN	NaN	NaN	NaN	30	70	9.8	6.0	39.8	76.0	311482.8355	3940241.7990	436.5375	5.56	5.60	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	1023.01	7356	amelUNKN	1	NaN	2014	NaN	NaN	NaN	30	70	1.5	1.5	31.5	71.5	311475.2426	3940236.1880	436.5375	NaN	1.26	NA	UN	NA	0	ND	NA	ND		
Purchase_Knob	296.01	7369	acerPens	1	2011	NaN	NaN	NaN	NaN	30	70	0.2	2.5	30.2	72.5	311473.8160	3940236.9970	435.9728	1.94	2.40	UN	UN	1	0	ND	ND	ND		
Purchase_Knob	313.01	7370	AMELUNKN	1	2011	NaN	NaN	NaN	NaN	30	70	1.0	2.0	31.0	72.0	311474.6778	3940236.6140	436.5375	2.63	3.00	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	437.01	2546	acerRubr	1	2011	NaN	NaN	NaN	NaN	40	0	1.5	1.0	41.5	1.0	311494.9570	3940167.7660	429.9460	1.33	1.51	UN	N	0	0	ND	ND	ND		
Purchase_Knob	496.01	2547	acerSacc	1	2011	NaN	NaN	NaN	NaN	40	0	7.0	9.0	47.0	9.0	311499.2900	3940176.4540	431.0023	6.78	6.90	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	509.01	2548	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	7.5	3.0	47.5	3.0	311500.6202	3940170.5820	429.9460	1.46	2.10	UN	UN	0	0	ND	ND	ND		
Purchase_Knob	475.01	2549	acerRubr	1	2011	NaN	NaN	NaN	NaN	40	0	5.0	5.0	45.0	5.0	311497.8662	3940172.2140	429.9460	7.82	8.10	UN	UN	0	0	D	ND	CD		
Purchase_Knob	454.01	2550	acerPens	1	2011	NaN	NaN	NaN	NaN	40	0	3.0	7.0	43.0	7.0	311495.6073	3940173.9160	429.9460	3.98	4.61	UN	UN	0	0	ND	ND	ND		
