plot.id,tree.no,bearing,dist,dbh,occl,species,cr.p,height,h.cr,diameter1,diameter2,notes,date,tree.no.2012
Harv_01_NW,23,80,14.9,31.1,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,24,83,10.2,13.3,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,27,85,7.3,22.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,29,86,19.2,12.4,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,30,88,19.3,22.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,31,95,19.2,21.4,V,WhitePine,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,32,105,14.8,32.1,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,33,106,16.8,23.1,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,34,107,17.2,26.7,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,28,114,6.3,10.2,P,BlackBirch,NA,108,2,7,5.7,NA,2013-09-20,42
Harv_01_NW,44,115,13.8,24.3,V,Dead,NA,NA,NA,NA,NA,WhiteBirch,2013-09-20,NA
Harv_01_NW,35,116,6,9.8,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,43,119,12.2,16.1,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,37,121,2.2,13.4,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,42,124,8.5,5.9,O,WhiteBeech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,45,124,18.6,31.6,P,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,39,125,5,35,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,41,130,4.1,12.5,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,40,132,4.4,21.4,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,38,135,2.2,13.3,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,46,142,11,30.6,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,47,143,11,32.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,48,144,11,32.1,V,RedMaple,NA,25.1,12.8,7.8,6.3,NA,2013-09-20,63
Harv_01_NW,49,145,11,18.1,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,50,145,7.6,10.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,53,160,15.8,51.2,V,WhitePine,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,54,161,16.2,13.7,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,55,161,18.3,18.3,O,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,51,164,2.7,14.6,V,Dead,NA,NA,NA,NA,NA,WhiteBirch,2013-09-20,NA
Harv_01_NW,56,166,13.6,13.3,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,57,169,19.4,60.7,V,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,58,176,17,15.1,P,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,52,180,4,56.2,V,RedOak,NA,23.8,13.5,12.8,13.9,NA,2013-09-20,116
Harv_01_NW,59,182,19,13.5,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,60,188,19,11.9,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,61,192,11.7,23.9,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,64,193,17.1,29.8,P,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,62,194,10.2,10.4,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,63,194,18.3,43.8,P,RedOak,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,65,202,10.6,31.3,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,66,207,19.4,12.3,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,67,209,7.1,15.6,V,Beech,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,68,215,3.9,5.5,O,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,70,215,1.4,6.9,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,69,217,3.6,19,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,95,222,17.5,47.9,V,RedOak,NA,19,9.7,8.2,8.1,NA,2013-09-20,100
Harv_01_NW,92,226,13.3,10.2,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,94,227,19.7,15.1,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,93,230,18.4,17.7,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,91,233,13.7,11.2,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,71,240,2.3,11.2,V,BlackBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,89,245,12,16,V,WhiteBirch,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,90,249,16.7,25.5,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,87,270,11.6,25.9,V,RedMaple,NA,NA,NA,NA,NA,NA,2013-09-20,NA
Harv_01_NW,88,271,15.7,72.5,V,RedOak,NA,22.1,7.2,17.2,15.1,NA,2013-09-20,90
